,specialty,level,applications,posts,ratio,year
0,"﻿ACCS Emergency Medicine
","ST1
"," 760
"," 344
"," 2.21
",2016
1,"Anaesthetics (including ACCS Anaesthetics)
","CT1
"," 1263
"," 603
"," 2.09
",2016
2,"Cardiothoracic Surgery
","ST1
"," 61
"," 6
"," 10.17
",2016
3,"Clinical Radiology
","ST1
"," 1074
"," 251
"," 4.28
",2016
4,"Community Sexual and Reproductive Health
","ST1
"," 121
"," 7
"," 17.29
",2016
5,"Core Medical Training (including ACCS Acute Medicine)
","CT1
"," 2516
"," 1640
"," 1.53
",2016
6,"Core Psychiatry Training
","CT1
"," 745
"," 497
"," 1.50
",2016
7,"Core Surgical Training
","CT1
"," 1622
"," 642
"," 2.53
",2016
8,"General Practice
","ST1
"," 4863
"," 3802
"," 1.28
",2016
9,"Histopathology
","ST1
"," 209
"," 83
"," 2.52
",2016
10,"Neurosurgery
","ST1
"," 169
"," 26
"," 6.50
",2016
11,"Obstetrics and Gynaecology
","ST1
"," 551
"," 272
"," 2.03
",2016
12,"Ophthalmology
","ST1
"," 436
"," 90
"," 4.84
",2016
13,"Oral and Maxillo Facial Surgery
","ST1
"," 19
"," 3
"," 6.33
",2016
14,"Paediatrics
","ST1
"," 708
"," 430
"," 1.65
",2016
15,"Public Health Medicine
","ST1
"," 738
"," 70
"," 10.54
",2016
16,"Acute Internal Medicine
","ST3
"," 239
"," 118
"," 2.03
",2016
17,"Allergy
","ST3
"," 7
"," 1
"," 7.00
",2016
18,"Audiovestibular Medicine
","ST3
"," 10
"," 2
"," 5.00
",2016
19,"Cardiology
","ST3
"," 350
"," 150
"," 2.33
",2016
20,"Clinical Genetics
","ST3
"," 30
"," 10
"," 3.00
",2016
21,"Clinical Neurophysiology
","ST3
"," 22
"," 7
"," 3.14
",2016
22,"Clinical Oncology
","ST3
"," 116
"," 71
"," 1.63
",2016
23,"Clinical Pharmacology and Therapeutics
","ST3
"," 10
"," 9
"," 1.11
",2016
24,"Combined Infection Training
","ST3
"," 100
"," 56
"," 1.79
",2016
25,"Dermatology
","ST3
"," 178
"," 39
"," 4.56
",2016
26,"Endocrinology and Diabetes Mellitus
","ST3
"," 153
"," 78
"," 1.96
",2016
27,"Gastroenterology
","ST3
"," 249
"," 92
"," 2.71
",2016
28,"Genitourinary Medicine
","ST3
"," 34
"," 35
"," 0.97
",2016
29,"Geriatric Medicine
","ST3
"," 264
"," 144
"," 1.83
",2016
30,"Haematology
","ST3
"," 129
"," 89
"," 1.45
",2016
31,"Immunology
","ST3
"," 21
"," 8
"," 2.63
",2016
32,"Medical Oncology
","ST3
"," 122
"," 55
"," 2.22
",2016
33,"Medical Ophthalmology
","ST3
"," 9
"," 1
"," 9.00
",2016
34,"Neurology
","ST3
"," 184
"," 46
"," 4.00
",2016
35,"Nuclear Medicine
","ST3
"," 16
"," 7
"," 2.29
",2016
36,"Palliative Medicine
","ST3
"," 126
"," 40
"," 3.15
",2016
37,"Rehabilitation Medicine
","ST3
"," 30
"," 19
"," 1.58
",2016
38,"Renal Medicine
","ST3
"," 119
"," 87
"," 1.37
",2016
39,"Respiratory Medicine
","ST3
"," 233
"," 112
"," 2.08
",2016
40,"Rheumatology
","ST3
"," 127
"," 38
"," 3.34
",2016
41,"Sport and Exercise Medicine
","ST3
"," 26
"," 9
"," 2.89
",2016
