,specialty,level,applications,posts,ratio,year
0,"Paediatrics 
","ST4
","105
"," 83
"," 1.27
",2018
1,"Palliative Medicine 
","ST3
","106
"," 38
"," 2.79
",2018
2,"Plastic Surgery 
","ST3
","134
"," 32
"," 4.19
",2018
3,"Psychiatry of Learning Disability 
","ST4
","14
"," 40
"," 0.35
",2018
4,"Public Health Medicine 
","ST1
","754
"," 78
"," 9.67
",2018
5,"Rehabilitation Medicine 
","ST3
","39
"," 33
"," 1.18
",2018
6,"Renal Medicine 
","ST3
","116
"," 77
"," 1.51
",2018
7,"Respiratory Medicine 
","ST3
","221
"," 94
"," 2.35
",2018
8,"Rheumatology 
","ST3
","125
"," 52
"," 2.40
",2018
9,"Sport and Exercise Medicine 
","ST3
","32
"," 12
"," 2.67
",2018
10,"Trauma and Orthopaedic Surgery 
","ST3
","409
"," 142
"," 2.88
",2018
11,"Urology 
","ST3
","125
"," 47
"," 2.66
",2018
12,"Medical Oncology 
","ST3
","121
"," 55
"," 2.20
",2018
13,"Medical Ophthalmology 
","ST3
","4
"," 3
"," 1.33
",2018
14,"Medical Psychotherapy 
","ST4
","12
"," 4
"," 3.00
",2018
15,"Metabolic Medicine 
","ST3
","18
"," 22
"," 0.82
",2018
16,"Neurology 
","ST3
","137
"," 52
"," 2.63
",2018
17,"Neurosurgery 
","ST1
","152
"," 34
"," 4.47
",2018
18,"Neurosurgery 
","ST3
","12
"," 2
"," 6.00
",2018
19,"Nuclear Medicine 
","ST3
","8
"," 3
"," 2.67
",2018
20,"Obstetrics and Gynaecology 
","ST1
","511
"," 275
"," 1.86
",2018
21,"Obstetrics and Gynaecology 
","ST3
","270
"," 95
"," 2.84
",2018
22,"Occupational Medicine 
","ST3
","26
"," 11
"," 2.36
",2018
23,"Old Age Psychiatry 
","ST4
","52
"," 66
"," 0.79
",2018
24,"Ophthalmology 
","ST1
","378
"," 101
"," 3.74
",2018
25,"Ophthalmology 
","ST3
","42
"," 18
"," 2.33
",2018
26,"Oral and Maxillofacial Surgery 
","ST1
","35
"," 8
"," 4.38
",2018
27,"Oral and Maxillofacial Surgery 
","ST3
","21
"," 15
"," 1.40
",2018
28,"Otolaryngology 
","ST3
","132
"," 56
"," 2.36
",2018
29,"Paediatric Cardiology 
","ST4
","36
"," 13
"," 2.77
",2018
30,"Paediatric Surgery 
","ST3
","42
"," 10
"," 4.20
",2018
31,"Paediatrics 
","ST1
","585
"," 451
"," 1.30
",2018
32,"Paediatrics 
","ST2
","42
"," 28
"," 1.50
",2018
33,"Paediatrics 
","ST3
","75
"," 50
"," 1.50
",2018
34,"Core Surgical Training 
","CT1
","1870
"," 636
"," 2.94
",2018
35,"Dermatology 
","ST3
","172
"," 55
"," 3.13
",2018
36,"Diagnostic neuropathology 
","ST3
","5
"," 6
"," 0.83
",2018
37,"Emergency Medicine 
","ST3
","91
"," 83
"," 1.10
",2018
38,"Emergency Medicine 
","ST4
","89
"," 79
"," 1.13
",2018
39,"Endocrinology and Diabetes Mellitus 
","ST3
","150
"," 104
"," 1.44
",2018
40,"Forensic Psychiatry 
","ST4
","45
"," 35
"," 1.29
",2018
41,"Forensic Psychiatry and Child and Adolescent Psychiatry
","ST4
","5
"," 3
"," 1.67
",2018
42,"Forensic Psychiatry and Medical Psychotherapy 
","ST4
","3
"," 1
"," 3.00
",2018
43,"Gastroenterology 
","ST3
","233
"," 93
"," 2.51
",2018
44,"General and Vascular Surgery 
","ST3
","396
"," 257
"," 1.54
",2018
45,"General Practice 
","ST1
","4987
"," 3763
"," 1.33
",2018
46,"General Psychiatry 
","ST4
","189
"," 186
"," 1.02
",2018
47,"General Psychiatry & Forensic Psychiatry 
","ST4
","15
"," 9
"," 1.67
",2018
48,"General Psychiatry and Medical Psychotherapy 
","ST4
","26
"," 10
"," 2.60
",2018
49,"General Psychiatry and Old Age Psychiatry 
","ST4
","51
"," 46
"," 1.11
",2018
50,"Genito-urinary Medicine 
","ST3
","22
"," 37
"," 0.59
",2018
51,"Geriatric Medicine 
","ST3
","216
"," 171
"," 1.26
",2018
52,"Haematology 
","ST3
","128
"," 80
"," 1.60
",2018
53,"Histopathology 
","ST1
","188
"," 102
"," 1.84
",2018
54,"Immunology 
","ST3
","19
"," 9
"," 2.11
",2018
55,"Intensive Care Medicine 
","ST3
","293
"," 169
"," 1.73
",2018
56,"ACCS Acute Medicine/Core Medical Training 
","CT1
","2455
"," 1637
"," 1.50
",2018
57,"ACCS Anaesthetics/Core Anaesthetics 
","CT1
","1428
"," 581
"," 2.46
",2018
58,"Acute Care Common Stem - Emergency Medicine 
","ST1/CT1
","700
"," 369
"," 1.90
",2018
59,"Acute Internal Medicine 
","ST3
","257
"," 131
"," 1.96
",2018
60,"Allergy 
","ST3
","11
"," 1
"," 11.00
",2018
61,"Anaesthetics 
","ST3
","533
"," 392
"," 1.36
",2018
62,"Audio vestibular Medicine 
","ST3
","9
"," 3
"," 3.00
",2018
63,"Cardiology 
","ST3
","358
"," 140
"," 2.56
",2018
64,"Cardio-thoracic surgery 
","ST1
","90
"," 11
"," 8.18
",2018
65,"Cardio-thoracic surgery 
","ST3
","33
"," 9
"," 3.67
",2018
66,"Child and Adolescent Psychiatry 
","ST1
","94
"," 11
"," 8.55
",2018
67,"Child and Adolescent Psychiatry 
","ST4
","63
"," 82
"," 0.77
",2018
68,"Clinical Genetics 
","ST3
","35
"," 13
"," 2.69
",2018
69,"Clinical Neurophysiology 
","ST3
","20
"," 13
"," 1.54
",2018
70,"Clinical Oncology 
","ST3
","123
"," 53
"," 2.32
",2018
71,"Clinical Pharmacology and Therapeutics 
","ST3
","14
"," 14
"," 1.00
",2018
72,"Clinical Radiology 
","ST1
","1090
"," 291
"," 3.75
",2018
73,"Combined Infection Training 
","ST3
","125
"," 69
"," 1.81
",2018
